,time,frame,n_pp_at_time,IDs_people,bb_people
103,0:00:04:520000,113,2,[1 2],"[39, 53, 251, 409],[96, 208, 282, 472]"
104,0:00:04:560000,114,2,[1 2],"[41, 53, 251, 413],[95, 209, 284, 472]"
105,0:00:04:600000,115,2,[1 2],"[39, 54, 254, 409],[95, 209, 284, 472]"
106,0:00:04:640000,116,2,[1 2],"[40, 54, 255, 408],[95, 209, 283, 472]"
107,0:00:04:680000,117,2,[1 2],"[39, 54, 259, 403],[93, 209, 283, 470]"
108,0:00:04:720000,118,2,[1 2],"[39, 53, 261, 397],[94, 209, 283, 471]"
109,0:00:04:760000,119,2,[1 2],"[40, 52, 262, 390],[103, 209, 283, 469]"
110,0:00:04:800000,120,2,[1 2],"[41, 52, 262, 388],[94, 210, 286, 469]"
111,0:00:04:840000,121,2,[1 2],"[43, 52, 262, 383],[93, 210, 283, 468]"
112,0:00:04:880000,122,2,[1 2],"[45, 52, 262, 382],[92, 210, 282, 468]"
113,0:00:04:920000,123,2,[1 2],"[45, 52, 264, 378],[101, 209, 283, 469]"
114,0:00:04:960000,124,2,[1 2],"[47, 52, 263, 375],[104, 209, 285, 469]"
115,0:00:05,125,2,[1 2],"[48, 51, 262, 375],[105, 208, 286, 469]"
116,0:00:05:040000,126,2,[1 2],"[49, 51, 262, 383],[105, 207, 289, 469]"
117,0:00:05:080000,127,2,[1 2],"[48, 51, 262, 380],[102, 207, 290, 469]"
118,0:00:05:120000,128,2,[1 2],"[51, 51, 258, 383],[99, 208, 295, 469]"
119,0:00:05:160000,129,2,[1 2],"[53, 51, 255, 400],[99, 209, 295, 469]"
120,0:00:05:200000,130,2,[1 2],"[54, 51, 254, 411],[108, 208, 295, 473]"
121,0:00:05:240000,131,2,[1 2],"[55, 49, 250, 444],[115, 208, 289, 472]"
122,0:00:05:280000,132,2,[1 2],"[57, 48, 247, 463],[122, 208, 294, 474]"
123,0:00:05:320000,133,2,[1 2],"[62, 48, 245, 473],[126, 208, 301, 476]"
124,0:00:05:360000,134,2,[1 2],"[64, 48, 242, 477],[142, 207, 304, 476]"
125,0:00:05:400000,135,2,[1 2],"[65, 48, 239, 479],[154, 207, 313, 476]"
126,0:00:05:440000,136,2,[1 2],"[66, 48, 239, 479],[153, 207, 321, 476]"
127,0:00:05:480000,137,2,[1 2],"[66, 49, 239, 477],[160, 207, 316, 476]"
128,0:00:05:520000,138,2,[1 2],"[66, 49, 239, 476],[159, 208, 329, 477]"
129,0:00:05:560000,139,2,[1 2],"[70, 50, 238, 475],[163, 212, 325, 474]"
130,0:00:05:600000,140,2,[1 2],"[74, 50, 239, 475],[156, 209, 334, 475]"
131,0:00:05:640000,141,2,[1 2],"[74, 49, 242, 477],[156, 209, 336, 475]"
132,0:00:05:680000,142,2,[1 2],"[75, 49, 244, 475],[157, 209, 336, 475]"
133,0:00:05:720000,143,2,[1 2],"[76, 48, 246, 476],[159, 211, 339, 475]"
134,0:00:05:760000,144,2,[1 2],"[77, 48, 248, 478],[164, 213, 347, 476]"
