,time,frame,n_pp_at_time,n_attentive_pp_at_time,IDs_people,IDs_attention,bb_people,bb_attention,total_pp_appear_uptotime,total_attentive_pp_appear_uptotime
84,0:00:03.760000,94,2,2,"[1, 2]","[1, 2]","[array([ 31,  51, 267, 474]), array([ 98, 207, 285, 475])]","[array([152,  83,  62,  62]), array([143, 239,  62,  62])]",2,2
85,0:00:03.800000,95,2,2,"[1, 2]","[1, 2]","[array([ 25,  50, 270, 421]), array([ 89, 209, 283, 471])]","[array([146,  82,  62,  62]), array([141, 241,  62,  62])]",2,2
86,0:00:03.840000,96,2,2,"[1, 2]","[1, 2]","[array([ 29,  49, 265, 390]), array([ 92, 210, 278, 469])]","[array([150,  81,  62,  62]), array([144, 242,  62,  62])]",2,2
87,0:00:03.880000,97,2,2,"[1, 2]","[1, 2]","[array([ 34,  49, 260, 391]), array([ 88, 210, 280, 469])]","[array([148,  81,  62,  62]), array([147, 242,  62,  62])]",2,2
88,0:00:03.920000,98,2,2,"[1, 2]","[1, 2]","[array([ 34,  49, 263, 382]), array([ 87, 210, 280, 469])]","[array([148,  81,  62,  62]), array([146, 242,  62,  62])]",2,2
89,0:00:03.960000,99,2,2,"[1, 2]","[1, 2]","[array([ 36,  49, 262, 379]), array([ 88, 210, 280, 469])]","[array([150,  81,  62,  62]), array([147, 242,  62,  62])]",2,2
90,0:00:04,100,2,2,"[1, 2]","[1, 2]","[array([ 36,  50, 260, 372]), array([ 87, 210, 281, 468])]","[array([150,  82,  62,  62]), array([146, 242,  62,  62])]",2,2
91,0:00:04.040000,101,2,2,"[1, 2]","[1, 2]","[array([ 38,  50, 255, 370]), array([ 89, 210, 282, 468])]","[array([152,  82,  62,  62]), array([148, 242,  62,  62])]",2,2
92,0:00:04.080000,102,2,2,"[1, 2]","[1, 2]","[array([ 39,  50, 254, 376]), array([ 93, 208, 280, 467])]","[array([153,  82,  62,  62]), array([145, 240,  62,  62])]",2,2
93,0:00:04.120000,103,2,2,"[1, 2]","[1, 2]","[array([ 40,  51, 253, 384]), array([ 93, 207, 282, 467])]","[array([154,  83,  62,  62]), array([145, 239,  62,  62])]",2,2
94,0:00:04.160000,104,2,2,"[1, 2]","[1, 2]","[array([ 39,  51, 252, 389]), array([ 92, 207, 283, 469])]","[array([153,  83,  62,  62]), array([144, 239,  62,  62])]",2,2
95,0:00:04.200000,105,2,2,"[1, 2]","[1, 2]","[array([ 40,  52, 250, 399]), array([ 92, 207, 283, 471])]","[array([154,  84,  62,  62]), array([144, 239,  62,  62])]",2,2
96,0:00:04.240000,106,2,2,"[1, 2]","[1, 2]","[array([ 38,  52, 251, 399]), array([ 92, 207, 283, 471])]","[array([152,  84,  62,  62]), array([144, 239,  62,  62])]",2,2
97,0:00:04.280000,107,2,2,"[1, 2]","[1, 2]","[array([ 38,  53, 250, 398]), array([ 93, 207, 282, 471])]","[array([152,  85,  62,  62]), array([145, 239,  62,  62])]",2,2
98,0:00:04.320000,108,2,2,"[1, 2]","[1, 2]","[array([ 39,  53, 249, 401]), array([ 93, 207, 283, 470])]","[array([153,  85,  62,  62]), array([145, 239,  62,  62])]",2,2
99,0:00:04.360000,109,2,2,"[1, 2]","[1, 2]","[array([ 39,  53, 248, 401]), array([ 95, 207, 282, 471])]","[array([153,  85,  62,  62]), array([147, 239,  62,  62])]",2,2
100,0:00:04.400000,110,2,2,"[1, 2]","[1, 2]","[array([ 39,  53, 248, 404]), array([ 96, 207, 282, 472])]","[array([153,  85,  62,  62]), array([148, 239,  62,  62])]",2,2
101,0:00:04.440000,111,2,2,"[1, 2]","[1, 2]","[array([ 40,  53, 248, 410]), array([ 96, 207, 283, 472])]","[array([154,  85,  62,  62]), array([148, 239,  62,  62])]",2,2
102,0:00:04.480000,112,2,2,"[1, 2]","[1, 2]","[array([ 40,  53, 250, 408]), array([ 95, 208, 283, 472])]","[array([154,  85,  62,  62]), array([147, 240,  62,  62])]",2,2
103,0:00:04.520000,113,2,2,"[1, 2]","[1, 2]","[array([ 39,  53, 251, 409]), array([ 96, 208, 282, 472])]","[array([153,  85,  62,  62]), array([148, 240,  62,  62])]",2,2
104,0:00:04.560000,114,2,2,"[1, 2]","[1, 2]","[array([ 41,  53, 251, 413]), array([ 95, 209, 284, 472])]","[array([155,  85,  62,  62]), array([147, 241,  62,  62])]",2,2
105,0:00:04.600000,115,2,2,"[1, 2]","[1, 2]","[array([ 39,  54, 254, 409]), array([ 95, 209, 284, 472])]","[array([153,  79,  62,  62]), array([147, 241,  62,  62])]",2,2
106,0:00:04.640000,116,2,2,"[1, 2]","[1, 2]","[array([ 40,  54, 255, 408]), array([ 95, 209, 283, 472])]","[array([154,  79,  62,  62]), array([147, 241,  62,  62])]",2,2
107,0:00:04.680000,117,2,2,"[1, 2]","[1, 2]","[array([ 39,  54, 259, 403]), array([ 93, 209, 283, 470])]","[array([153,  79,  62,  62]), array([152, 241,  62,  62])]",2,2
108,0:00:04.720000,118,2,2,"[1, 2]","[1, 2]","[array([ 39,  53, 261, 397]), array([ 94, 209, 283, 471])]","[array([153,  85,  62,  62]), array([153, 241,  62,  62])]",2,2
109,0:00:04.760000,119,2,2,"[1, 2]","[1, 2]","[array([ 40,  52, 262, 390]), array([103, 209, 283, 469])]","[array([154,  84,  62,  62]), array([148, 241,  62,  62])]",2,2
110,0:00:04.800000,120,2,2,"[1, 2]","[1, 2]","[array([ 41,  52, 262, 388]), array([ 94, 210, 286, 469])]","[array([155,  84,  62,  62]), array([153, 242,  62,  62])]",2,2
